question,answer,category
1 2 3 4 5,un deux trois quatre cinq (pronounced 'sanq' but the Q is dropped if a word follows cinq),numbers
6 7 8 9 10, six ('sees') sept ('set') huit ('ueet') neuf dix ('dees') ,numbers
11 12 13,onze douze treize ('trez'),numbers
14 15 16,quatorze ('katorz') quinze ('kaz') seize ('sez'),numbers
17 18 19,dix-sept ('deeset') dix-huit ('deeswheat') dix-neuf ('deesnuff'),numbers
20,vingt ('vah'),numbers
21 22 23,vingt et un ('vante-oon') vingt-deux ('vant-dew') vingt-troix ('van-twoh'),numbers
24 25 26,vingt-quatre vingt-cinq vingt-six,numbers
27 28 29,vingt-sept vingt-huit vingt-neuf,numbers
For which 10's (under 100) do you have to add elements together?,70s (60 and add 10 11 12 13 etc to make the 70s) 80s (4 x 20) and 90s (80 and add 10 11 12 13 etc to make the 90s),numbers
30,trente ('tront'),numbers
40,quarante ('karant'); The Q/K almost sounds like a hard G.,numbers
50,cinquante ('sah-cohnt'); The C/Q sound in the middle almost sounds like a hard G.,numbers
60,soixante ('swois-onT'),numbers
70,soixante-dix ('sois-on-dees'),numbers
80,quatre-vingt ('catre-von'),numbers
90,quatre-vingt-dix ('catre-von-dees'),numbers
60 61 62 63,soixante + soixante et un + soixante-duex + soixant-trois,numbers
70 71 72 73,soixante-dix + soixante et onze (use the 'et' with 1 and 11) + soixante-douze + soixante-treize,numbers
80 81 82 83,quatre-vingts + quatre-vingt-un + quatre-vingt-duex + quatre-vingt-trois,numbers
90 91 92 93,quatre-vingt-dix + quatre-vingt-onze + quatre-vingt-douze + quatre-vingt-treize; NB: to write out numbers add a dash between each word and delete a final S (e.g. from cents) if a word follows it - leave the final S if it is the last word in the number series.,numbers
100,cent (kind of like 'saw' in english but pronounced like sont in french),numbers
101,cent un ('saw uh'),numbers
200 + 300,deux cents ('duh saw') + trois cents,numbers
201,deux cent un,numbers
Specify the pronunciation: 2 euros,deux‿euros ('duh-zoo-rhoh'; The X makes a Z liaison with euro.),vocabulary
Specify the pronunication: 500,cinq cents ('san-sohn'; The Q sound at the end of cinq is dropped because it is followed by a word.),numbers
Specify the pronunication: 600 coins,six cents pièces ('see-sohn-pee-ays'); The S at the end of 'cents' is silent because followed by word that does not start with a vowel.,numbers
Specify the pronunication: 700 cash, sept cents‿espèces ('sept-sohn-Zeh-spehs); Pronounce the S at the end of 'cents' as a Z because the following word starts with a vowel. A liaison is required.,numbers
Specify spelling and pronunciation of: 80 + 82 + 80 years.,80: quatre-vingts (silent S); 82: quatre-vingt-deux (remove S in spelling because followed by more numbers); 80 years: quatre-vingts‿an ('ca-tr-vuhn-Zan'; Keep the S in spelling because that is the word/number. Then the S makes a Z liaison with an.),numbers
1.000,mille; Never say: un mille. When you mean exact numbers: mille (1000) + deux mille (2000) + trois mille (3000) etc.; If you mean roughly (but not exactly) one thousand: un millier (thousands),numbers
roughly a thousand; Specify pronunciation.,un millier ('mee-lyay'); -ER (even when prefixed by an I) always sounds like 'ay'. The best example of this is at the end of every infinitive: marcher + parler,numbers
1997 (like the year),Years are spelled out (and spoken) as full numbers: mille-neuf-cent-quatre-vingt-dix-sept,numbers
6.000,six mille,numbers
10.000,dix mille (pronounced 'dee-meel' because we drop the x when a noun follows the 10),numbers
100.000,cent mille,numbers
1.000.000,un milliOn; Pronounce the end as a strong and very nasal 'oh'.,numbers
5.000.000,cinq milliOn; Pronounce the end as a strong and very nasal 'oh'.,numbers
1.000.000.000,un milliaRd (one billion); Pronounce the R at the end. This is how to tell the difference between milliard and million (very nasal without an R sound).,numbers
2 billion euros,2 milliard D'euro; In this case the phrase is considered a quantity. So we add the generic DE (or D' if the noun starts with a vowel). Do not include an article. Do not agree in gender/number. Think of DE as a multiplication sign.; Whether you use a singular or plural object of the preposition depends on the type of thing (liquids are almost always singular and solids are often plural).,numbers
What time is it?,Quelle heure est-il?; pronounced ...'ay-teel' because we link almost all words AND when a vowel follows est then we must pronunce the T - otherwise it would be two vowel sounds together which does not work in french; Use quelle (feminine singular form) because huere is feminine singular.,numbers
At what time does the class start?,à quelle heure commence la classe?; à quelle heure + VERB + SUBJECT?; NB: Use classe to talk about the time you are at school. Use cours to talk about the type of class you are taking. e.g. un cours de tango (literally: a course of study),vocabulary
the morning (6h to 12h),le matin,vocabulary
midday/noon,le midi OR à la mi-journée,vocabulary
the afternoon (12h to 18h),l'après midi,vocabulary
the evening(18h to 22h),le soir,vocabulary
the night(22h to 6h),la nuit ('nyee'; Do not pronounce the T.),vocabulary
midnight,le minuit,vocabulary
at dawn,à l'aube; aube is feminine,vocabulary
It is 1:00.,Il est une heure.,numbers
7:00,sept heures; heures is pronounced 'euhr' (same sound as leur),numbers
2:05,duex heures cinq; Do not use 'et' (and) if you are using numbers instead of quarter or half.; Pronounce the Q sound at the end of cinq because there is no word following it.,numbers
8:10,huit heures dix,numbers
9:15,neuf heures et quart,numbers
20:45,neuf heures moins le quart; !!when you use demi/quart then you cannot use military time,numbers
4:20,quatre heures vingt,numbers
5:30,cinq heures et demie,numbers
13:35,quatorze heures moins vingt-cinq,numbers
16:40,dix-sept heures moins vingt,numbers
9 o'clock in the morning / afternoon / evening., 9h DU matin / DE l'après-midi / DU soir; DE + LE/LA + time of day is the correct structure for expressing doing something at some time of day or the time at some time of day.; We are referring to a specific instant - not a duration. So use matin + jour + soir + etc.; In this case we are not dealing with a quantity so use more than the generic DE.,numbers
1 o'clock in the morning (late night),une heure DU matin; Use matin (like english) even though it is before dawn.,vocabulary
I will leave at 20 (minutes) past the hour.,Je pars à vingt.; This is a more common expression in french than in English. You can use this structure to say that something will happen at some time (some minute) when the hour is assumed.,numbers
I go to the office at 8am.,Je vais au bureau à 8 heures.,numbers
after 10:00 + before 18:00,avant dix heures + après dix-huit heures; When using avant/après with a noun (no verb - either conjugated or infinitive) then there is no preposition (e.g. de) required.,vocabulary
a second + a minute + an hour,une seconde (the C almost sounds like a hard G) + une minute + une‿heure (liaison 'ooh-noohr'); All denominations of time are feminine.,vocabulary
first + firstly,1e OR en premier/première (m/f) + premièrement; '1e' is how you write floors of a building and the arrodissiments (e.g. 5e arrodissiment); Transform an adjective that ends in a consonant by selecting the feminine version of the adjective. Then add -MENT. This ensures a vowel is present before -MENT ending.,numbers
second + secondly,deuxième / 2e (doo-ziem) + deuxièmement,numbers
third,troisième / 3e (twah-ziem),numbers
fourth,quatrième / 4e (ke-treim),numbers
fifth,cinqième / 5e (sanq-em),numbers
sixth,sixième / 6e (see-ziem),numbers
seventh,septième / 7e (seeup-tiem), numbers
eighth,huitième / 8e (wheat-iem),numbers
ninth,neuvième / 9e (nu-viem),numbers
tenth,dixième / 10e (dee-ziem),numbers
eleventh,onzième / 11e (ohn-ziem),numbers
firstly,premièrement; Use this when you are enumerating items or things that happened or will happen,numbers
secondy,deuxièmement,numbers
a half (1/2),un demi,numbers
a third (1/3) of children,un tiers DES enfants,numbers
two thirds (2/3),un tiers + deux tiers; NB: un tiers can also mean a third person joining a group.,numbers
a fourth (1/4) + a fourth of birds,un quart + un quart DES oiseaux; Percentages (25% DES personnes) and fractions are not the same as quantities (une bouteille DE vin). When you specify a portion of some whole then you (almost always) include an article after DE which results in du / de la / des.; Whether you use a singular or plural object of the preposition depends on the type of thing (liquids are almost always singular and solids are often plural).,numbers
a fifth (1/5),un cinquième,numbers
three out of ten,trois sur dix,numbers
percent (%),pour cent; Technically this is written as two words but many people will write it as one word.,numbers
10%,dix pour cent OR sur dix (a tenth),numbers
25%,vingt-cinq pour cent OR sur quatre (a quarter),numbers
90% of french people,quatre-vingt-onze pour cent DES français; Percentages (25% DES personnes) and fractions are not the same as quantities (une bouteille DE vin). When you specify a portion of some whole then you (almost always) include an article after DE which results in du / de la / des.; Whether you use a singular or plural object of the preposition depends on the type of thing (liquids are almost always singular and solids are often plural). Luckily it generally translates directly from English.,numbers
100% of students,la totalité DES éleves OR 100 pour cent DES éleves; Percentages (25% DES personnes) and fractions are not the same as quantities (une bouteille DE vin). When you specify a portion of some whole then you (almost always) include an article after DE which results in du / de la / des.; Whether you use a singular or plural object of the preposition depends on the type of thing (liquids are almost always singular and solids are often plural). Luckily it generally translates directly from English.,numbers
a high percentage of...,un pourcentage élevé de...; élevée means raised in the sense of heightened and also in terms of a person being raised by their parents,numbers
a low percentage of...,un faible pourcentage de...,numbers
a minority + a majority + an overwhelming majority,une minorité + une majorité + une grande majorité,numbers
a majority of animals,une majorité DES animaux; Percentages (25% DES personnes) and fractions are not the same as quantities (une bouteille DE vin). When you specify a portion of some whole then you (almost always) include an article after DE which results in du / de la / des.; Whether you use a singular or plural object of the preposition depends on the type of thing (liquids are almost always singular and solids are often plural). Luckily it generally translates directly from English.,numbers
a set of keys,un double DES clés; Un double does not use generic DE. It uses DES.,numbers
the 10th + the 20th + the 30th,le dixième + le vingtième + le trentième,numbers
the 21st + the 22nd + the 23rd + the 31st,le vingt et unième + le vingt-deuxième + le vingt-troisième + le trente et unième,numbers
the 100th (the hundredth) + the thousandth + the millionth,le centième + le millième + le millionième,numbers
in order (like a list),en ordre,vocabulary
How do you pronounce: 6 people + 8 people + 10 people?,six personnes ('see-pear-sohn') + huit personnes ('ooeet-pear-sohn') + dix personnes ('dee-pear-sohn'); Take care to drop the ending sound of the number when a noun follows it - NOT 'sees-pear-sohn' or 'dees-pear-sohn'.,pronunciation
How to pronounce a b c d e,ah beh seh deh uh (like wool but the lips are a bit puckered and the sound is made high in the mouth; same sound as ö in german),pronunciation
How to pronounce f g h i j,eff zhey (like massage) ah-sh ee zhee/jhee,pronunciation
How to pronounce k l m n o,kah ell ehm ehn oh,pronunciation
How to pronounce p q r s t,peh keoo (like KEE with rounded lips) ehr ess teh,pronunciation
How to pronounce u v w x y z,eew veh doobluh-veh eeks ee-grehk zehd,pronunciation
How does pronunciation of french vowels differ from english vowels?,French vowel pronunciation is more pure/defined. The sound is closer to the front of the mouth and the tongue and lips remain tensed throughout the pronunciation to form the strongly differentiated sounds.,pronunciation
What are the different ways to categorize french vowels?,Classification 1: Oral (air passed only through mouth) vs Nasal (air passed through mouth and nose). Oral vowels: A   E   I   O   U. Nasal vowels: AN   IN   ON   UN.;  Classification 2: Open (tongue low in the mouth) to Closed (tongue touching roof of mouth). This is a spectrum - not two distinct categories. Both oral and nasal vowels fall on the spectrum from very open to very closed.; 3) Classification 3: Effect on consonants C/G/S is either hard vs soft. Hard vowels: A O U. Soft vowels: E I Y.,pronunciation
How do you know whether a vowel should be pronounced as oral vs nasal?,Requirements for a nasal vowel: 1) The vowel is followed by N or M. 2) The vowel + N/M combo is not followed by a vowel. A vowel after the combo will force an oral pronunciation - instead of nasal. e.g. un is nasal. une is not nasal because the combo (UN) is followed by a vowel.; NB: The complete list of spellings that can create a nasal vowel: an + am + en + em + ain + aim + ein + eim + en + em + in + im + un + um + ym + yn + on + om + un + um.,pronunciation
